Month (month),State (state_name),State Code (state_code),District (district_name),District Code (district_code),Total Rice Allocated (total_rice_allocated),Total Wheat Allocated (total_wheat_allocated),Total Rice Distributed (total_rice_distributed),Total Wheat Distritibuted (total_wheat_distributed)
"2020-10-01","Bihar","10","Sheohar","220","1983.9","1322.6","1687.1","1124.71"
"2020-11-01","Bihar","10","Darbhanga","195","12899.72","8599.81","10799.22","7200.24"
"2019-04-01","Himachal Pradesh","2","Bilaspur","15","454.0","647.0","414.04","593.29"
"2020-01-01","Maharashtra","27","Dhule","474","2958.67","5393.61","2596.6","4735.82"
"2018-04-01","Uttar Pradesh","9","Shamli","660","1961.06","2904.68","1892.89","2802.43"
"2020-06-01","Karnataka","29","Udupi","549","4272.23","328.29","4021.39","301.87"
"2019-05-01","Uttar Pradesh","9","Meerut","169","3828.67","5719.94","3344.13","4995.76"
"2021-10-01","Uttar Pradesh","9","Unnao","186","5752.55","8342.7","5348.98","7754.95"
"2017-09-01","Tamil Nadu","33","Dindigul","572","21.58","0.69","0.0","0.0"
"2019-10-01","Chhattisgarh","22","Narayanpur","637","1071.23","0.0","631.22","0.0"
"2020-08-01","Maharashtra","27","Chandrapur","473","4834.45","5183.66","4680.47","5007.02"
"2018-05-01","Haryana","6","Faridabad","60","0.0","2217.38","0.0","2592.0"
"2020-03-01","Punjab","3","Firozpur","31","0.0","17086.96","0.0","8742.49"
"2018-06-01","Jammu And Kashmir","1","Anantnag","1","6434.78","164.33","3117.69","164.33"
"2020-07-01","Uttar Pradesh","9","Kaushambi","158","2825.2","4143.87","2734.6","4010.16"
"2018-04-01","Maharashtra","27","Bhandara","471","4269.39","1824.1","3874.48","1795.6"
"2019-02-01","Karnataka","29","Ballari","528","9924.87","0.0","8946.54","7.95"
"2018-06-01","Jammu And Kashmir","1","Rajauri","12","2677.29","1830.21","938.8","648.29"
"2019-09-01","West Bengal","19","Dinajpur Uttar","311","4924.0","7308.38","4825.28","7161.95"
"2020-11-01","Bihar","10","Nalanda","209","8197.13","5464.75","6675.66","4450.53"
"2019-11-01","Telangana","36","Khammam","509","4297.07","0.0","3786.66","0.0"
"2018-12-01","Chhattisgarh","22","Bijapur","636","1797.31","0.0","1041.78","0.0"
"2019-12-01","Himachal Pradesh","2","Sirmaur","24","436.0","620.0","421.01","567.45"
"2019-01-01","Telangana","36","Peddapalli","682","2546.44","0.0","2269.65","0.0"
"2019-10-01","Bihar","10","Katihar","201","9386.7","6257.8","9386.7","6257.8"
"2018-05-01","Assam","18","Dhemaji","284","3088.76","0.0","3088.76","0.0"
"2021-10-01","Rajasthan","8","Sikar","114","0.0","8405.0","0.0","8295.14"
"2019-11-01","Telangana","36","Wanaparthy","693","1814.28","0.0","1516.97","0.0"
"2020-08-01","Meghalaya","17","Ri Bhoi","276","1025.91","0.0","1025.91","0.0"
"2019-01-01","Manipur","14","Ukhrul","260","813.92","0.0","813.92","0.0"
"2019-09-01","Tamil Nadu","33","The Nilgiris","587","2355.78","107.76","2412.27","94.99"
"2019-06-01","Maharashtra","27","Dhule","474","7008.97","6820.94","3217.04","3986.46"
"2018-01-01","Bihar","10","Darbhanga","195","10281.28","6854.18","10248.34","6835.56"
"2019-08-01","Maharashtra","27","Nagpur","484","10462.37","12992.86","6675.35","8398.25"
"2018-03-01","Bihar","10","Muzaffarpur","208","12614.43","8409.62","12539.59","8359.73"
"2019-02-01","Uttar Pradesh","9","Farrukhabad","141","2823.37","3987.59","2674.63","3920.21"
"2020-01-01","Delhi","7","South West","84","962.07","3759.05","962.07","3759.05"
"2021-11-01","Madhya Pradesh","23","Niwari","722","359.91","1137.9","316.9","1099.55"
"2019-12-01","Rajasthan","8","Jodhpur","107","0.0","10598.39","0.0","10196.33"
"2019-05-01","Gujarat","24","Patan","455","1509.85","3561.16","1452.32","3426.94"
"2020-07-01","Mizoram","15","Champhai","262","520.43","0.0","498.46","0.0"
"2020-03-01","Assam","18","Dhemaji","284","3093.21","0.0","3093.21","0.0"
"2018-05-01","West Bengal","19","Kolkata","315","4472.8","6592.93","4209.69","6469.7"
"2019-01-01","Jharkhand","20","Simdega","342","2654.34","340.73","2631.65","327.38"
